Fecha,Hora,WS
2021-01-31,9,0.835
2021-01-31,10,1.85
2021-01-31,11,1.827
2021-01-31,12,1.823
2021-01-31,13,1.447
2021-01-31,14,1.39
2021-01-31,15,1.977
2021-01-31,16,1.449
2021-01-31,17,1.445
2021-01-31,18,1.424
2021-01-31,19,1.123
2021-01-31,20,1.976
2021-01-31,21,1.569
2021-01-31,22,1.595
2021-01-31,23,1.456
2021-02-01,0,0.856
2021-02-02,0,1.744
2021-02-02,1,1.219
2021-02-02,2,1.123
2021-02-02,3,1.026
2021-02-02,4,0.779
2021-02-02,5,0.37
2021-02-02,6,0.3
2021-02-02,7,0.503
2021-02-02,8,0.44
2021-02-02,9,0.536
2021-02-02,10,0.406
2021-02-02,11,0.756
2021-02-02,12,1.229
2021-02-02,13,1.083
2021-02-02,14,1.321
2021-02-03,0,0.62
2021-02-03,1,0.146
2021-02-03,2,0.446
2021-02-03,3,0.082
2021-02-03,4,0.289
2021-02-03,5,0.19
2021-02-03,6,0.283
2021-02-03,7,0.259
2021-02-03,8,0.433
2021-02-03,9,0.716
2021-02-03,10,1.076
2021-02-03,11,1.677
2021-02-03,12,0.958
2021-02-03,13,0.894
2021-02-03,14,0.961
2021-02-03,15,1.316
2021-02-03,16,1.129
2021-02-03,17,0.752
2021-02-03,18,0.762
2021-02-03,19,1.169
2021-02-03,20,0.279
2021-02-03,21,0.223
2021-02-03,22,0.406
2021-02-03,23,0.341
2021-02-04,0,0.404
2021-02-04,1,0.616
2021-02-04,2,0.646
2021-02-04,3,0.675
2021-02-04,4,0.319
2021-02-04,5,0.047
2021-02-04,6,0.123
2021-02-04,7,0.407
2021-02-04,8,0.39
2021-02-04,9,0.518
2021-02-04,10,0.748
2021-02-04,11,1.767
2021-02-04,12,1.308
2021-02-04,13,1.147
2021-02-04,14,1.512
2021-02-04,15,1.565
2021-02-04,16,1.381
2021-02-04,17,1.903
2021-02-04,18,2.603
2021-02-04,19,1.63
2021-02-04,20,0.585
2021-02-04,21,0.841
2021-02-04,22,1.027
2021-02-04,23,0.969
2021-02-05,0,0.449
2021-02-05,1,0.388
2021-02-05,2,0.568
2021-02-05,3,0.542
2021-02-05,4,1.341
2021-02-05,5,0.922
2021-02-05,6,0.585
2021-02-05,7,0.342
2021-02-05,8,0.278
2021-02-05,9,0.789
2021-02-05,10,0.769
2021-02-05,11,1.278
2021-02-05,12,1.266
2021-02-05,13,1.708
2021-02-05,14,1.663
2021-02-05,15,1.854
2021-02-05,16,2.735
2021-02-05,17,3.934
2021-02-05,18,3.362
2021-02-05,19,2.505
2021-02-05,20,2.227
2021-02-05,21,0.788
2021-02-05,22,1.369
2021-02-05,23,1.384
2021-02-06,0,0.93
2021-02-06,1,0.961
2021-02-06,2,0.895
2021-02-06,3,1.502
2021-02-06,4,2.204
2021-02-06,5,1.894
2021-02-06,6,1.295
2021-02-06,7,0.537
2021-02-06,8,0.302
2021-02-06,9,0.362
2021-02-06,10,1.25
2021-02-06,11,1.638
2021-02-06,12,1.415
2021-02-06,13,1.242
2021-02-06,14,1.646
2021-02-06,15,1.546
2021-02-06,16,1.564
2021-02-06,17,3.26
2021-02-06,18,2.426
2021-02-06,19,2.033
2021-02-06,20,1.055
2021-02-06,21,0.634
2021-02-06,22,1.154
2021-02-06,23,1.144
2021-02-07,0,0.803
2021-02-07,1,0.524
2021-02-07,2,0.677
2021-02-07,3,0.291
2021-02-07,4,0.001
2021-02-07,5,0.126
2021-02-07,6,0.014
2021-02-07,7,0.156
2021-02-07,8,0.273
2021-02-07,9,0.854
2021-02-07,10,1.115
2021-02-07,11,0.953
2021-02-07,12,1.758
2021-02-07,13,2.276
2021-02-07,14,1.55
2021-02-07,15,1.71
2021-02-07,16,2.006
2021-02-07,17,1.932
2021-02-07,18,1.449
2021-02-07,19,1.219
2021-02-07,20,0.597
2021-02-07,21,0.491
2021-02-07,22,0.252
2021-02-07,23,0.659
2021-02-08,0,0.953
2021-02-08,1,0.696
2021-02-08,2,0.89
